"","x"
"1","Pop4_17219"
"2","Pop2_17008"
"3","Pop9_18076"
"4","Pop1_16232"
"5","Pop7_18161"
"6","Pop8_18147"
"7","Pop3_17033"
"8","Pop2_17010"
"9","Pop6_18026"
"10","Pop1_16236"
"11","Pop6_18006"
"12","Pop1_16225"
"13","Pop4_17218"
"14","Pop8_18146"
"15","Pop8_18139"
"16","Pop2_17007"
"17","Pop9_18100"
"18","Pop9_18067"
"19","Pop4_17248"
"20","Pop9_18070"
"21","Pop4_17235"
"22","Pop6_18040"
"23","Pop3_16227"
"24","Pop9_18072"
"25","Pop8_18132"
"26","Pop7_18164"
"27","Pop8_18127"
"28","Pop7_18184"
"29","Pop5_17267"
"30","Pop6_18033"
"31","Pop8_18110"
"32","Pop7_18154"
"33","Pop9_18101"
"34","Pop8_18119"
"35","Pop6_18010"
"36","Pop7_18172"
"37","Pop8_18102"
"38","Pop3_17288"
"39","Pop6_18016"
"40","Pop1_16237"
"41","Pop6_18005"
"42","Pop1_16230"
"43","Pop6_18049"
"44","Pop8_18123"
"45","Pop4_17238"
"46","Pop1_17306"
"47","Pop6_18024"
"48","Pop8_18103"
"49","Pop4_17211"
"50","Pop6_18043"
"51","Pop5_17281"
"52","Pop7_18176"
"53","Pop2_17313"
"54","Pop7_18157"
"55","Pop9_18092"
"56","Pop2_17315"
"57","Pop4_17230"
"58","Pop7_18153"
"59","Pop5_17252"
"60","Pop1_16231"
"61","Pop9_18096"
"62","Pop2_17001"
"63","Pop8_18115"
"64","Pop6_18042"
"65","Pop3_17002"
"66","Pop1_17294"
"67","Pop7_18182"
"68","Pop9_18088"
"69","Pop7_18156"
"70","Pop7_18170"
"71","Pop5_17276"
"72","Pop8_18126"
"73","Pop3_16223"
"74","Pop5_17271"
"75","Pop6_18051"
"76","Pop1_17324"
"77","Pop8_18149"
"78","Pop1_17296"
"79","Pop2_17316"
"80","Pop5_17282"
"81","Pop6_18039"
"82","Pop7_18179"
"83","Pop7_18183"
"84","Pop8_18112"
"85","Pop7_18180"
"86","Pop4_17203"
"87","Pop6_18032"
"88","Pop7_18194"
"89","Pop9_18052"
"90","Pop4_17260"
"91","Pop3_17287"
"92","Pop7_18186"
"93","Pop9_18099"
"94","Pop9_18078"
"95","Pop7_18162"
"96","Pop3_17304"
"97","Pop5_17280"
"98","Pop9_18090"
"99","Pop9_18095"
"100","Pop6_18025"
"101","Pop2_17015"
"102","Pop8_18124"
"103","Pop1_16216"
"104","Pop2_17156"
"105","Pop1_17309"
"106","Pop8_18143"
"107","Pop2_17153"
"108","Pop2_17024"
"109","Pop5_17261"
"110","Pop6_18001"
"111","Pop2_17027"
"112","Pop7_18166"
"113","Pop7_18173"
"114","Pop9_18058"
"115","Pop9_18081"
"116","Pop8_18148"
"117","Pop7_18189"
"118","Pop6_18044"
"119","Pop9_18064"
"120","Pop8_18125"
"121","Pop4_17221"
"122","Pop3_16228"
"123","Pop4_17206"
"124","Pop4_17226"
"125","Pop4_17210"
"126","Pop7_18178"
"127","Pop9_18093"
"128","Pop6_18035"
"129","Pop5_17257"
"130","Pop2_17006"
"131","Pop6_18038"
"132","Pop8_18138"
"133","Pop7_18155"
"134","Pop8_18130"
"135","Pop1_17032"
"136","Pop8_18122"
"137","Pop8_18113"
"138","Pop9_18077"
"139","Pop5_17272"
"140","Pop7_18190"
"141","Pop9_18087"
"142","Pop2_17020"
"143","Pop1_17327"
"144","Pop1_16239"
"145","Pop6_18030"
"146","Pop2_17029"
"147","Pop8_18136"
"148","Pop3_16240"
"149","Pop1_17305"
"150","Pop2_16214"
"151","Pop2_17017"
"152","Pop8_18117"
"153","Pop2_17023"
"154","Pop6_18012"
"155","Pop5_17268"
"156","Pop7_18167"
"157","Pop9_18075"
"158","Pop9_18073"
"159","Pop1_17308"
"160","Pop7_18192"
"161","Pop3_16248"
"162","Pop8_18141"
"163","Pop1_16229"
"164","Pop4_17277"
"165","Pop3_17325"
"166","Pop6_18046"
"167","Pop8_18151"
"168","Pop6_18021"
"169","Pop4_17215"
"170","Pop8_18108"
"171","Pop4_17234"
"172","Pop6_18015"
"173","Pop2_17154"
"174","Pop6_18031"
"175","Pop6_18003"
"176","Pop1_16242"
"177","Pop7_18193"
"178","Pop5_17283"
"179","Pop3_16243"
"180","Pop5_17254"
"181","Pop7_18163"
"182","Pop6_18029"
"183","Pop9_18094"
"184","Pop6_18020"
"185","Pop9_18061"
"186","Pop5_17253"
"187","Pop1_17298"
"188","Pop4_17240"
"189","Pop6_18022"
"190","Pop2_17013"
"191","Pop1_17017"
"192","Pop3_16245"
"193","Pop7_18160"
"194","Pop6_18008"
"195","Pop5_17273"
"196","Pop8_18134"
"197","Pop2_17016"
"198","Pop2_17031"
"199","Pop9_18097"
"200","Pop2_17003"
"201","Pop9_18084"
"202","Pop9_18074"
"203","Pop2_17022"
"204","Pop5_17262"
"205","Pop5_17270"
"206","Pop6_18048"
"207","Pop6_18002"
"208","Pop7_18171"
"209","Pop8_18106"
"210","Pop2_17005"
"211","Pop6_18047"
"212","Pop8_18118"
"213","Pop4_17242"
"214","Pop2_16211"
"215","Pop9_18065"
"216","Pop2_17314"
"217","Pop5_17265"
"218","Pop8_18120"
"219","Pop1_16224"
"220","Pop8_18109"
"221","Pop7_18188"
"222","Pop2_16219"
"223","Pop7_18174"
"224","Pop1_17326"
"225","Pop9_18082"
"226","Pop9_18085"
"227","Pop9_18086"
"228","Pop6_18013"
"229","Pop4_17216"
"230","Pop9_18098"
"231","Pop7_18165"
"232","Pop8_18128"
"233","Pop7_18185"
"234","Pop6_18041"
"235","Pop9_18053"
"236","Pop8_18133"
"237","Pop9_18069"
"238","Pop5_17256"
"239","Pop1_16238"
"240","Pop4_17233"
"241","Pop7_18187"
"242","Pop6_18037"
"243","Pop7_18158"
"244","Pop1_16247"
"245","Pop5_17264"
"246","Pop6_18019"
"247","Pop9_18062"
"248","Pop1_16241"
"249","Pop4_17249"
"250","Pop5_17259"
"251","Pop8_18104"
"252","Pop3_16221"
"253","Pop1_17285"
"254","Pop1_17286"
"255","Pop1_16249"
"256","Pop9_18083"
"257","Pop7_18152"
"258","Pop2_17018"
"259","Pop9_18080"
"260","Pop2_17026"
"261","Pop7_18168"
"262","Pop2_17028"
"263","Pop8_18116"
"264","Pop7_18175"
"265","Pop4_17224"
"266","Pop8_18131"
"267","Pop8_18142"
"268","Pop3_17292"
"269","Pop2_17011"
"270","Pop2_16218"
"271","Pop7_18159"
"272","Pop5_17263"
"273","Pop9_18056"
"274","Pop6_18014"
"275","Pop4_17245"
"276","Pop1_16220"
"277","Pop1_17317"
"278","Pop1_17289"
"279","Pop5_17258"
"280","Pop5_17279"
"281","Pop7_18191"
"282","Pop8_18140"
"283","Pop1_17311"
"284","Pop4_17204"
"285","Pop8_18150"
"286","Pop1_17284"
"287","Pop6_18034"
"288","Pop1_17303"
"289","Pop9_18059"
"290","Pop2_17155"
"291","Pop6_18017"
"292","Pop3_17030"
"293","Pop3_17290"
"294","Pop5_17278"
"295","Pop9_18091"
"296","Pop2_17019"
"297","Pop1_17291"
"298","Pop1_16233"
"299","Pop1_16234"
"300","Pop4_17236"
