V1,V2
Pop4_17219,Pop4
Pop2_17008,Pop2
Pop9_18076,Pop9
Pop1_16232,Pop1
Pop7_18161,Pop7
Pop8_18147,Pop8
Pop3_17033,Pop3
Pop2_17010,Pop2
Pop6_18026,Pop6
Pop1_16236,Pop1
Pop6_18006,Pop6
Pop1_16225,Pop1
Pop4_17218,Pop4
Pop8_18146,Pop8
Pop8_18139,Pop8
Pop2_17007,Pop2
Pop9_18100,Pop9
Pop9_18067,Pop9
Pop4_17248,Pop4
Pop9_18070,Pop9
Pop4_17235,Pop4
Pop6_18040,Pop6
Pop3_16227,Pop3
Pop9_18072,Pop9
Pop8_18132,Pop8
Pop7_18164,Pop7
Pop8_18127,Pop8
Pop7_18184,Pop7
Pop5_17267,Pop5
Pop6_18033,Pop6
Pop8_18110,Pop8
Pop7_18154,Pop7
Pop9_18101,Pop9
Pop8_18119,Pop8
Pop6_18010,Pop6
Pop7_18172,Pop7
Pop3_17288,Pop3
Pop6_18005,Pop6
Pop6_18049,Pop6
Pop8_18123,Pop8
Pop4_17238,Pop4
Pop1_17306,Pop1
Pop6_18024,Pop6
Pop8_18103,Pop8
Pop4_17211,Pop4
Pop6_18043,Pop6
Pop5_17281,Pop5
Pop7_18176,Pop7
Pop2_17313,Pop2
Pop7_18157,Pop7
Pop9_18092,Pop9
Pop2_17315,Pop2
Pop4_17230,Pop4
Pop7_18153,Pop7
Pop5_17252,Pop5
Pop1_16231,Pop1
Pop9_18096,Pop9
Pop2_17001,Pop2
Pop8_18115,Pop8
Pop6_18042,Pop6
Pop3_17002,Pop3
Pop1_17294,Pop1
Pop7_18182,Pop7
Pop9_18088,Pop9
Pop7_18156,Pop7
Pop7_18170,Pop7
Pop5_17276,Pop5
Pop8_18126,Pop8
Pop3_16223,Pop3
Pop5_17271,Pop5
Pop6_18051,Pop6
Pop1_17324,Pop1
Pop8_18149,Pop8
Pop1_17296,Pop1
Pop2_17316,Pop2
Pop5_17282,Pop5
Pop6_18039,Pop6
Pop7_18179,Pop7
Pop7_18183,Pop7
Pop8_18112,Pop8
Pop7_18180,Pop7
Pop4_17203,Pop4
Pop6_18032,Pop6
Pop7_18194,Pop7
Pop9_18052,Pop9
Pop4_17260,Pop4
Pop3_17287,Pop3
Pop7_18186,Pop7
Pop9_18099,Pop9
Pop9_18078,Pop9
Pop7_18162,Pop7
Pop3_17304,Pop3
Pop5_17280,Pop5
Pop9_18090,Pop9
